Timestamp,EnvID,SensorName,ContactID,ContactIndex,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ,Fx,Fy,Fz,ForceMagnitude,ForceAlongNormal
0.2000,0,gripper_left_sensor_2,0,0,1.6778,-1.2966,0.4041,0.0129,0.9128,-0.0008,0.4082,-0.0324,2.1514,0.0587,2.1524,-0.1154
0.2000,0,gripper_right_sensor_3,0,0,1.6855,-1.2063,0.4095,0.0129,0.9128,-0.0008,0.4082,-0.2155,-3.3183,0.1470,3.3285,-0.1783
0.2000,1,gripper_left_sensor_2,0,0,1.6778,1.2034,0.4041,0.0129,0.9128,-0.0008,0.4082,-0.0324,2.1514,0.0587,2.1524,-0.1154
0.2000,1,gripper_right_sensor_3,0,0,1.6855,1.2937,0.4095,0.0129,0.9128,-0.0008,0.4082,-0.2155,-3.3183,0.1470,3.3285,-0.1783
0.2000,2,gripper_left_sensor_2,0,0,-0.8222,-1.2966,0.4041,0.0129,0.9128,-0.0008,0.4082,-0.0325,2.1530,0.0588,2.1540,-0.1154
0.2000,2,gripper_right_sensor_3,0,0,-0.8145,-1.2063,0.4095,0.0129,0.9128,-0.0008,0.4082,-0.2156,-3.3196,0.1471,3.3299,-0.1784
0.2000,3,gripper_left_sensor_2,0,0,-0.8222,1.2034,0.4041,0.0129,0.9128,-0.0008,0.4082,-0.0325,2.1530,0.0588,2.1540,-0.1154
0.2000,3,gripper_right_sensor_3,0,0,-0.8145,1.2937,0.4095,0.0129,0.9128,-0.0008,0.4082,-0.2156,-3.3196,0.1471,3.3299,-0.1784
0.4000,0,gripper_left_sensor_1,0,0,1.6905,-1.2791,0.3259,0.0059,0.9592,-0.0427,0.2794,153.4353,-6.6341,85.2990,175.6767,10.4257
0.4000,0,gripper_left_sensor_2,0,0,1.6821,-1.2783,0.3206,0.0059,0.9592,-0.0427,0.2794,2.0910,28.8799,1.9319,29.0199,-1.5251
0.4000,1,gripper_right_sensor_3,0,0,1.6722,1.2863,0.3024,0.0058,0.9662,0.0018,0.2576,-0.0560,-1.3703,0.0685,1.3732,-0.0731
0.4000,1,gripper_right_sensor_4,0,0,1.6635,1.2862,0.2974,0.0058,0.9662,0.0018,0.2576,-0.5001,-12.2389,0.6115,12.2644,-0.6529
0.4000,2,gripper_left_sensor_2,0,0,-0.8460,-1.2547,0.3342,0.0063,0.9508,-0.0851,0.2978,5.4666,37.0064,3.3753,37.5599,-2.0073
0.4000,3,gripper_left_sensor_1,0,0,-0.8244,1.2227,0.3346,0.0100,0.9557,-0.0430,0.2909,89.6601,-3.9813,53.0340,104.2467,5.9093
0.4000,3,gripper_left_sensor_2,0,0,-0.8327,1.2234,0.3290,0.0100,0.9557,-0.0430,0.2909,3.6112,47.7445,2.9172,47.9697,-2.5260
0.6000,0,gripper_left_sensor_1,0,0,1.7306,-1.2499,0.2383,-0.0015,0.9882,-0.0717,0.1350,7.4455,50.9236,4.0006,51.6203,-2.7034
0.6000,0,gripper_left_sensor_2,0,0,1.7211,-1.2485,0.2357,-0.0015,0.9882,-0.0717,0.1350,-93.6322,16.8763,-28.5465,99.3313,2.2186
0.6000,1,gripper_right_sensor_3,0,0,1.6972,1.2781,0.2066,0.0013,0.9945,0.0058,0.1041,-0.0775,-4.5702,0.2394,4.5771,-0.2443
0.6000,1,gripper_right_sensor_4,0,0,1.6874,1.2780,0.2045,0.0013,0.9945,0.0058,0.1041,-0.1622,-9.5699,0.5013,9.5844,-0.5115
0.6000,2,gripper_left_sensor_1,0,0,-0.8470,-1.1669,0.2727,-0.0048,0.9706,-0.1686,0.1719,0.2889,0.8739,0.1109,0.9271,-0.0500
0.6000,2,gripper_left_sensor_2,0,0,-0.8558,-1.1636,0.2694,-0.0048,0.9706,-0.1686,0.1719,10.3676,31.3549,3.9804,33.2635,-1.7954
0.6000,3,gripper_left_sensor_2,0,0,-0.8185,1.2749,0.2549,-0.0018,0.9833,-0.0872,0.1596,6.3239,37.3299,3.2651,38.0023,-2.0193
0.8000,0,gripper_left_sensor_2,0,0,1.7795,-1.2452,0.2204,0.0076,0.9934,-0.0406,0.1074,1.6751,18.9835,0.9501,19.0809,-1.0225
0.8000,1,gripper_right_sensor_3,0,0,1.7245,1.2759,0.1695,-0.0010,0.9993,0.0102,0.0357,-0.0022,-1.2789,0.0650,1.2806,-0.0684
0.8000,1,gripper_right_sensor_4,0,0,1.7145,1.2757,0.1688,-0.0010,0.9993,0.0102,0.0357,-0.2007,-10.0791,0.4934,10.0932,-0.5331
0.8000,2,gripper_left_sensor_1,0,0,-0.8165,-1.1146,0.2404,0.0028,0.9867,-0.1117,0.1177,32.2764,142.3808,11.0904,146.4140,-7.8522
0.8000,2,gripper_left_sensor_2,0,0,-0.8259,-1.1124,0.2380,0.0028,0.9867,-0.1117,0.1177,-191.7246,52.3083,-53.5966,205.8326,6.0476
0.8000,3,gripper_left_sensor_2,0,0,-0.7826,1.2960,0.2057,0.0019,0.9946,-0.0685,0.0775,3.9199,26.9736,1.6855,27.3091,-1.4528
1.0000,0,gripper_left_sensor_2,0,0,1.7922,-1.2382,0.1827,0.0075,0.9982,-0.0385,0.0458,2.6270,28.7426,1.2638,28.8900,-1.5495
1.0000,1,gripper_right_sensor_3,0,0,1.7417,1.2744,0.1533,-0.0024,0.9999,0.0100,0.0039,0.0038,-5.2773,0.2565,5.2835,-0.2822
1.0000,1,gripper_right_sensor_4,0,0,1.7317,1.2742,0.1532,-0.0024,0.9999,0.0100,0.0039,0.0050,-6.8302,0.3320,6.8382,-0.3653
1.0000,2,gripper_left_sensor_2,0,0,-0.7835,-1.0951,0.2081,0.0012,0.9948,-0.0615,0.0806,4.1784,31.5784,2.0119,31.9171,-1.7047
1.0000,2,gripper_right_sensor_3,0,0,-0.7617,-0.9994,0.2104,0.0012,0.9948,-0.0615,0.0806,-0.6720,-4.5017,0.1951,4.5558,-0.2448
1.0000,2,gripper_right_sensor_4,0,0,-0.7715,-0.9982,0.2088,0.0012,0.9948,-0.0615,0.0806,-0.5891,-3.9462,0.1710,3.9936,-0.2146
1.0000,3,gripper_left_sensor_2,0,0,-0.7592,1.2983,0.1695,0.0048,0.9984,-0.0520,0.0230,3.4748,29.0852,1.3764,29.3243,-1.5661
1.2000,0,gripper_left_sensor_2,0,0,1.8017,-1.2349,0.1633,0.0083,0.9991,-0.0404,0.0122,3.0478,30.9957,1.2059,31.1685,-1.6774
1.2000,1,gripper_right_sensor_3,0,0,1.7514,1.2733,0.1459,-0.0033,0.9999,0.0087,-0.0108,-0.0019,-1.3043,0.0614,1.3058,-0.0698
1.2000,1,gripper_right_sensor_4,0,0,1.7414,1.2732,0.1461,-0.0033,0.9999,0.0087,-0.0108,-0.1336,-11.4970,0.5335,11.5102,-0.6052
1.2000,2,gripper_left_sensor_2,0,0,-0.7742,-1.0900,0.1751,0.0060,0.9983,-0.0471,0.0325,3.5547,32.6492,1.5051,32.8766,-1.7673
1.2000,3,gripper_left_sensor_2,0,0,-0.7469,1.3009,0.1523,0.0073,0.9989,-0.0454,-0.0054,3.5137,32.1416,1.2435,32.3569,-1.7366
1.4000,0,gripper_left_sensor_2,0,0,1.8067,-1.2322,0.1515,0.0087,0.9990,-0.0428,-0.0078,3.3699,32.0473,1.1516,32.2446,-1.7425
1.4000,0,gripper_right_sensor_3,0,0,1.8249,-1.1370,0.1496,0.0087,0.9990,-0.0428,-0.0078,-0.0018,-0.0181,0.0014,0.0182,-0.0010
1.4000,1,gripper_right_sensor_3,0,0,1.7575,1.2726,0.1405,-0.0041,0.9998,0.0009,-0.0170,-0.0296,-2.3222,0.1172,2.3254,-0.1348
1.4000,1,gripper_right_sensor_4,0,0,1.7475,1.2725,0.1408,-0.0041,0.9998,0.0009,-0.0170,-0.2846,-10.4072,0.4742,10.4219,-0.5482
1.4000,2,gripper_left_sensor_2,0,0,-0.7692,-1.0845,0.1590,0.0102,0.9991,-0.0405,0.0066,3.5421,35.7692,1.2395,35.9655,-1.9460
1.4000,3,gripper_left_sensor_2,0,0,-0.7412,1.3031,0.1422,0.0086,0.9988,-0.0440,-0.0220,3.6001,33.0591,1.1299,33.2738,-1.7940
1.4000,3,gripper_right_sensor_3,0,0,-0.7228,1.3985,0.1399,0.0086,0.9988,-0.0440,-0.0220,-0.0316,-0.3169,0.0247,0.3194,-0.0184
1.6000,0,gripper_left_sensor_2,0,0,1.8097,-1.2300,0.1430,0.0083,0.9987,-0.0458,-0.0194,3.4520,30.4997,1.0736,30.7132,-1.6603
1.6000,0,gripper_right_sensor_3,0,0,1.8284,-1.1352,0.1408,0.0083,0.9987,-0.0458,-0.0194,-0.2205,-2.1077,0.1624,2.1254,-0.1224
1.6000,0,gripper_right_sensor_4,0,0,1.8184,-1.1343,0.1412,0.0083,0.9987,-0.0458,-0.0194,-0.1114,-0.9803,0.0713,0.9892,-0.0524
1.6000,1,gripper_left_sensor_2,0,0,1.7499,1.1806,0.1348,-0.0041,0.9998,-0.0013,-0.0209,0.0234,1.1452,0.0751,1.1479,-0.0665
1.6000,1,gripper_right_sensor_3,0,0,1.7602,1.2721,0.1352,-0.0041,0.9998,-0.0013,-0.0209,-0.0310,-2.0284,0.1023,2.0312,-0.1179
1.6000,1,gripper_right_sensor_4,0,0,1.7502,1.2721,0.1356,-0.0041,0.9998,-0.0013,-0.0209,-0.2363,-9.7759,0.4516,9.7892,-0.5229
1.6000,2,gripper_left_sensor_2,0,0,-0.7679,-1.0811,0.1486,0.0127,0.9989,-0.0434,-0.0102,4.0080,37.4252,1.0354,37.6534,-2.0405
1.6000,2,gripper_right_sensor_3,0,0,-0.7495,-0.9844,0.1458,0.0127,0.9989,-0.0434,-0.0102,-0.2311,-2.2905,0.1937,2.3103,-0.1324
1.6000,2,gripper_right_sensor_4,0,0,-0.7594,-0.9835,0.1460,0.0127,0.9989,-0.0434,-0.0102,-0.2921,-2.6657,0.2139,2.6902,-0.1421
1.6000,3,gripper_left_sensor_2,0,0,-0.7383,1.3053,0.1343,0.0087,0.9984,-0.0470,-0.0315,3.4510,29.4872,0.9621,29.7040,-1.6030
1.6000,3,gripper_right_sensor_3,0,0,-0.7194,1.3999,0.1317,0.0087,0.9984,-0.0470,-0.0315,-0.2361,-2.2326,0.1773,2.2521,-0.1299
1.6000,3,gripper_right_sensor_4,0,0,-0.7294,1.4009,0.1324,0.0087,0.9984,-0.0470,-0.0315,-0.2996,-2.6080,0.1965,2.6325,-0.1396
1.8000,0,gripper_left_sensor_2,0,0,1.8111,-1.2273,0.1355,0.0073,0.9984,-0.0501,-0.0262,3.2821,26.6800,0.9638,26.8984,-1.4546
1.8000,0,gripper_right_sensor_3,0,0,1.8305,-1.1335,0.1333,0.0073,0.9984,-0.0501,-0.0262,-0.2439,-2.1606,0.1645,2.1805,-0.1255
1.8000,0,gripper_right_sensor_4,0,0,1.8206,-1.1325,0.1339,0.0073,0.9984,-0.0501,-0.0262,-0.2811,-2.3039,0.1658,2.3269,-0.1231
1.8000,1,gripper_left_sensor_2,0,0,1.7509,1.1801,0.1313,-0.0037,0.9997,0.0008,-0.0238,0.0308,1.8822,0.1220,1.8864,-0.1092
1.8000,1,gripper_right_sensor_3,0,0,1.7608,1.2716,0.1315,-0.0037,0.9997,0.0008,-0.0238,-0.0263,-2.4877,0.1274,2.4911,-0.1446
1.8000,1,gripper_right_sensor_4,0,0,1.7508,1.2715,0.1319,-0.0037,0.9997,0.0008,-0.0238,-0.1871,-9.6092,0.4518,9.6217,-0.5140
1.8000,2,gripper_left_sensor_2,0,0,-0.7665,-1.0779,0.1402,0.0128,0.9986,-0.0469,-0.0204,3.6954,31.9282,0.8267,32.1520,-1.7371
1.8000,2,gripper_right_sensor_3,0,0,-0.7475,-0.9823,0.1372,0.0128,0.9986,-0.0469,-0.0204,-0.2445,-2.2791,0.1967,2.3006,-0.1322
1.8000,2,gripper_right_sensor_4,0,0,-0.7575,-0.9813,0.1376,0.0128,0.9986,-0.0469,-0.0204,-0.6120,-5.2738,0.4333,5.3268,-0.2822
1.8000,3,gripper_left_sensor_2,0,0,-0.7372,1.3076,0.1277,0.0079,0.9981,-0.0479,-0.0377,3.2768,27.6693,0.9239,27.8779,-1.5044
1.8000,3,gripper_right_sensor_3,0,0,-0.7182,1.4017,0.1251,0.0079,0.9981,-0.0479,-0.0377,-0.2050,-1.9375,0.1521,1.9543,-0.1127
1.8000,3,gripper_right_sensor_4,0,0,-0.7282,1.4026,0.1259,0.0079,0.9981,-0.0479,-0.0377,-0.4903,-4.2656,0.3181,4.3054,-0.2283
2.0000,0,gripper_left_sensor_2,0,0,1.8112,-1.2249,0.1289,0.0062,0.9982,-0.0501,-0.0320,3.0871,25.2362,0.9434,25.4418,-1.3729
2.0000,0,gripper_right_sensor_3,0,0,1.8306,-1.1315,0.1268,0.0062,0.9982,-0.0501,-0.0320,-0.2044,-1.8423,0.1376,1.8587,-0.1071
2.0000,0,gripper_right_sensor_4,0,0,1.8206,-1.1305,0.1275,0.0062,0.9982,-0.0501,-0.0320,-0.3987,-3.3211,0.2346,3.3531,-0.1778
2.0000,1,gripper_left_sensor_2,0,0,1.7512,1.1797,0.1287,-0.0034,0.9997,0.0004,-0.0258,0.0460,2.1733,0.1294,2.1776,-0.1167
2.0000,1,gripper_right_sensor_3,0,0,1.7611,1.2711,0.1288,-0.0034,0.9997,0.0004,-0.0258,-0.0203,-1.3030,0.0621,1.3047,-0.0699
2.0000,1,gripper_right_sensor_4,0,0,1.7511,1.2711,0.1293,-0.0034,0.9997,0.0004,-0.0258,-0.2147,-10.6616,0.5091,10.6759,-0.5700
2.0000,2,gripper_left_sensor_2,0,0,-0.7666,-1.0754,0.1334,0.0125,0.9984,-0.0468,-0.0282,3.3050,28.6791,0.7275,28.8781,-1.5565
2.0000,2,gripper_right_sensor_3,0,0,-0.7477,-0.9806,0.1302,0.0125,0.9984,-0.0468,-0.0282,-0.1955,-1.8650,0.1618,1.8822,-0.1086
2.0000,2,gripper_right_sensor_4,0,0,-0.7577,-0.9797,0.1307,0.0125,0.9984,-0.0468,-0.0282,-0.7182,-6.3072,0.5213,6.3694,-0.3382
2.0000,3,gripper_left_sensor_2,0,0,-0.7360,1.3092,0.1228,0.0069,0.9982,-0.0422,-0.0411,2.7019,26.3302,1.0545,26.4895,-1.5430
2.0000,3,gripper_right_sensor_3,0,0,-0.7181,1.4032,0.1203,0.0069,0.9982,-0.0422,-0.0411,-0.4674,-4.7934,0.3463,4.8285,-0.2575
2.0000,3,gripper_right_sensor_4,0,0,-0.7280,1.4041,0.1211,0.0069,0.9982,-0.0422,-0.0411,-0.2232,-2.2888,0.1653,2.3056,-0.1229
2.2000,0,gripper_left_sensor_2,0,0,1.8114,-1.2231,0.1233,0.0052,0.9983,-0.0452,-0.0364,2.6616,24.5162,1.0720,24.6835,-1.4400
2.2000,0,gripper_right_sensor_3,0,0,1.8298,-1.1297,0.1213,0.0052,0.9983,-0.0452,-0.0364,-0.1713,-1.7123,0.1247,1.7253,-0.0995
2.2000,0,gripper_right_sensor_4,0,0,1.8199,-1.1288,0.1220,0.0052,0.9983,-0.0452,-0.0364,-0.5092,-4.6657,0.3214,4.7044,-0.2497
2.2000,1,gripper_left_sensor_2,0,0,1.7512,1.1791,0.1274,-0.0033,0.9996,0.0002,-0.0271,0.0601,2.8187,0.1667,2.8243,-0.1514
2.2000,1,gripper_right_sensor_3,0,0,1.7612,1.2706,0.1274,-0.0033,0.9996,0.0002,-0.0271,-0.0859,-5.5581,0.2670,5.5652,-0.2981
2.2000,1,gripper_right_sensor_4,0,0,1.7512,1.2706,0.1280,-0.0033,0.9996,0.0002,-0.0271,-0.0993,-6.4299,0.3089,6.4381,-0.3448
2.2000,2,gripper_left_sensor_2,0,0,-0.7661,-1.0742,0.1280,0.0121,0.9985,-0.0414,-0.0334,2.6474,26.4917,0.8049,26.6359,-1.5501
2.2000,2,gripper_right_sensor_3,0,0,-0.7483,-0.9795,0.1248,0.0121,0.9985,-0.0414,-0.0334,-0.1566,-1.6978,0.1463,1.7113,-0.0989
2.2000,2,gripper_right_sensor_4,0,0,-0.7582,-0.9787,0.1254,0.0121,0.9985,-0.0414,-0.0334,-0.7962,-7.8634,0.6461,7.9299,-0.4220
2.2000,3,gripper_left_sensor_2,0,0,-0.7345,1.3104,0.1203,0.0061,0.9985,-0.0347,-0.0420,2.2335,25.4072,1.0676,25.5275,-1.4866
2.2000,3,gripper_right_sensor_3,0,0,-0.7180,1.4046,0.1181,0.0061,0.9985,-0.0347,-0.0420,-0.4159,-5.0331,0.3529,5.0626,-0.2701
2.2000,3,gripper_right_sensor_4,0,0,-0.7280,1.4053,0.1189,0.0061,0.9985,-0.0347,-0.0420,-0.2497,-3.0223,0.2119,3.0400,-0.1622
2.4000,0,gripper_left_sensor_2,0,0,1.8123,-1.2216,0.1195,0.0045,0.9985,-0.0372,-0.0387,2.1862,23.6120,1.0714,23.7372,-1.3831
2.4000,0,gripper_right_sensor_3,0,0,1.8292,-1.1281,0.1176,0.0045,0.9985,-0.0372,-0.0387,-0.4331,-4.9206,0.3288,4.9506,-0.2639
2.4000,0,gripper_right_sensor_4,0,0,1.8192,-1.1274,0.1184,0.0045,0.9985,-0.0372,-0.0387,-0.1709,-1.9418,0.1298,1.9537,-0.1042
2.4000,1,gripper_left_sensor_2,0,0,1.7511,1.1786,0.1265,-0.0032,0.9996,0.0002,-0.0282,0.0753,3.4929,0.2058,3.4997,-0.1876
2.4000,1,gripper_right_sensor_3,0,0,1.7611,1.2701,0.1265,-0.0032,0.9996,0.0002,-0.0282,-0.0862,-5.5821,0.2693,5.5892,-0.2993
2.4000,1,gripper_right_sensor_4,0,0,1.7511,1.2701,0.1271,-0.0032,0.9996,0.0002,-0.0282,-0.1013,-6.5542,0.3162,6.5626,-0.3514
2.4000,2,gripper_left_sensor_2,0,0,-0.7648,-1.0737,0.1250,0.0116,0.9987,-0.0340,-0.0354,2.1321,25.0089,0.7878,25.1120,-1.4593
2.4000,2,gripper_right_sensor_3,0,0,-0.7484,-0.9789,0.1219,0.0116,0.9987,-0.0340,-0.0354,-0.4048,-4.9679,0.4010,5.0005,-0.2674
2.4000,2,gripper_right_sensor_4,0,0,-0.7583,-0.9782,0.1226,0.0116,0.9987,-0.0340,-0.0354,-0.4619,-5.6685,0.4575,5.7057,-0.3051
2.4000,3,gripper_left_sensor_2,0,0,-0.7340,1.3113,0.1185,0.0056,0.9986,-0.0305,-0.0428,1.9015,23.9219,1.0319,24.0196,-1.3985
2.4000,3,gripper_right_sensor_3,0,0,-0.7183,1.4055,0.1163,0.0056,0.9986,-0.0305,-0.0428,-0.3882,-5.2443,0.3614,5.2711,-0.2813
2.4000,3,gripper_right_sensor_4,0,0,-0.7282,1.4061,0.1172,0.0056,0.9986,-0.0305,-0.0428,-0.2842,-3.8396,0.2646,3.8591,-0.2059
2.6000,0,gripper_left_sensor_2,0,0,1.8130,-1.2204,0.1176,0.0040,0.9987,-0.0321,-0.0395,1.8841,22.7419,1.0611,22.8444,-1.3311
2.6000,0,gripper_right_sensor_3,0,0,1.8289,-1.1269,0.1158,0.0040,0.9987,-0.0321,-0.0395,-0.4051,-5.1868,0.3395,5.2137,-0.2781
2.6000,0,gripper_right_sensor_4,0,0,1.8190,-1.1263,0.1166,0.0040,0.9987,-0.0321,-0.0395,-0.1846,-2.3640,0.1547,2.3762,-0.1267
2.6000,1,gripper_left_sensor_2,0,0,1.7509,1.1781,0.1259,-0.0031,0.9996,-0.0001,-0.0292,0.0938,4.2035,0.2470,4.2118,-0.2258
2.6000,1,gripper_right_sensor_3,0,0,1.7609,1.2696,0.1259,-0.0031,0.9996,-0.0001,-0.0292,-0.0896,-5.5982,0.2708,5.6054,-0.3001
2.6000,1,gripper_right_sensor_4,0,0,1.7510,1.2696,0.1264,-0.0031,0.9996,-0.0001,-0.0292,-0.1077,-6.7283,0.3255,6.7370,-0.3607
2.6000,2,gripper_left_sensor_2,0,0,-0.7643,-1.0734,0.1226,0.0116,0.9988,-0.0300,-0.0372,1.7973,23.2026,0.7357,23.2837,-1.3533
2.6000,2,gripper_right_sensor_3,0,0,-0.7487,-0.9786,0.1195,0.0116,0.9988,-0.0300,-0.0372,-0.3900,-5.3199,0.4278,5.3513,-0.2861
2.6000,2,gripper_right_sensor_4,0,0,-0.7586,-0.9780,0.1202,0.0116,0.9988,-0.0300,-0.0372,-0.5120,-6.9852,0.5618,7.0264,-0.3757
2.6000,3,gripper_left_sensor_2,0,0,-0.7336,1.3124,0.1177,0.0053,0.9987,-0.0268,-0.0430,1.7021,23.5406,1.0377,23.6249,-1.3754
2.6000,3,gripper_right_sensor_3,0,0,-0.7186,1.4067,0.1156,0.0053,0.9987,-0.0268,-0.0430,-0.3566,-5.3370,0.3624,5.3612,-0.2861
2.6000,3,gripper_right_sensor_4,0,0,-0.7286,1.4073,0.1165,0.0053,0.9987,-0.0268,-0.0430,-0.2835,-4.2429,0.2881,4.2621,-0.2275
2.8000,0,gripper_left_sensor_2,0,0,1.8131,-1.2193,0.1160,0.0037,0.9988,-0.0288,-0.0405,1.6645,21.8325,1.0332,21.9202,-1.2767
2.8000,0,gripper_right_sensor_3,0,0,1.8285,-1.1258,0.1143,0.0037,0.9988,-0.0288,-0.0405,-0.3752,-5.2646,0.3407,5.2889,-0.2822
2.8000,0,gripper_right_sensor_4,0,0,1.8185,-1.1253,0.1151,0.0037,0.9988,-0.0288,-0.0405,-0.2077,-2.9143,0.1886,2.9278,-0.1562
2.8000,1,gripper_left_sensor_2,0,0,1.7507,1.1775,0.1254,-0.0031,0.9995,-0.0006,-0.0299,0.1144,4.9168,0.2883,4.9266,-0.2641
2.8000,1,gripper_right_sensor_3,0,0,1.7608,1.2692,0.1253,-0.0031,0.9995,-0.0006,-0.0299,-0.0942,-5.6048,0.2719,5.6122,-0.3005
2.8000,1,gripper_right_sensor_4,0,0,1.7508,1.2692,0.1259,-0.0031,0.9995,-0.0006,-0.0299,-0.1163,-6.9239,0.3358,6.9330,-0.3712
2.8000,2,gripper_left_sensor_2,0,0,-0.7641,-1.0729,0.1214,0.0115,0.9989,-0.0262,-0.0381,1.6045,22.8929,0.7352,22.9608,-1.3344
2.8000,2,gripper_right_sensor_3,0,0,-0.7492,-0.9780,0.1183,0.0115,0.9989,-0.0262,-0.0381,-0.3550,-5.4001,0.4317,5.4289,-0.2903
2.8000,2,gripper_right_sensor_4,0,0,-0.7591,-0.9775,0.1190,0.0115,0.9989,-0.0262,-0.0381,-0.4704,-7.1564,0.5722,7.1947,-0.3847
2.8000,3,gripper_left_sensor_2,0,0,-0.7335,1.3135,0.1174,0.0050,0.9988,-0.0246,-0.0430,1.5793,23.2252,1.0406,23.3021,-1.3565
2.8000,3,gripper_right_sensor_3,0,0,-0.7189,1.4079,0.1154,0.0050,0.9988,-0.0246,-0.0430,-0.3379,-5.4054,0.3630,5.4281,-0.2898
2.8000,3,gripper_right_sensor_4,0,0,-0.7288,1.4084,0.1163,0.0050,0.9988,-0.0246,-0.0430,-0.2982,-4.7699,0.3203,4.7900,-0.2557
3.0000,0,gripper_left_sensor_2,0,0,1.8131,-1.2182,0.1151,0.0035,0.9988,-0.0258,-0.0414,1.5179,21.5660,1.0324,21.6440,-1.2603
3.0000,0,gripper_right_sensor_3,0,0,1.8279,-1.1245,0.1134,0.0035,0.9988,-0.0258,-0.0414,-0.3476,-5.3287,0.3417,5.3510,-0.2856
3.0000,0,gripper_right_sensor_4,0,0,1.8179,-1.1240,0.1142,0.0035,0.9988,-0.0258,-0.0414,-0.2119,-3.2488,0.2083,3.2623,-0.1741
3.0000,1,gripper_left_sensor_2,0,0,1.7505,1.1770,0.1249,-0.0031,0.9995,-0.0011,-0.0306,0.1369,5.5958,0.3274,5.6071,-0.3006
3.0000,1,gripper_right_sensor_3,0,0,1.7607,1.2687,0.1249,-0.0031,0.9995,-0.0011,-0.0306,-0.1002,-5.6127,0.2729,5.6202,-0.3009
3.0000,1,gripper_right_sensor_4,0,0,1.7507,1.2687,0.1255,-0.0031,0.9995,-0.0011,-0.0306,-0.1271,-7.1198,0.3462,7.1293,-0.3817
3.0000,2,gripper_left_sensor_2,0,0,-0.7641,-1.0724,0.1208,0.0114,0.9989,-0.0237,-0.0387,1.4877,22.8041,0.7370,22.8645,-1.3288
3.0000,2,gripper_right_sensor_3,0,0,-0.7497,-0.9774,0.1177,0.0114,0.9989,-0.0237,-0.0387,-0.3321,-5.4660,0.4357,5.4934,-0.2938
3.0000,2,gripper_right_sensor_4,0,0,-0.7596,-0.9769,0.1184,0.0114,0.9989,-0.0237,-0.0387,-0.4442,-7.3112,0.5828,7.3479,-0.3929
3.0000,3,gripper_left_sensor_2,0,0,-0.7334,1.3144,0.1173,0.0048,0.9988,-0.0232,-0.0429,1.4993,22.9639,1.0428,23.0364,-1.3408
3.0000,3,gripper_right_sensor_3,0,0,-0.7191,1.4090,0.1154,0.0048,0.9988,-0.0232,-0.0429,-0.3260,-5.4503,0.3626,5.4721,-0.2922
3.0000,3,gripper_right_sensor_4,0,0,-0.7291,1.4094,0.1162,0.0048,0.9988,-0.0232,-0.0429,-0.3192,-5.3366,0.3551,5.3580,-0.2861
3.2000,0,gripper_left_sensor_2,0,0,1.8129,-1.2171,0.1144,0.0033,0.9988,-0.0237,-0.0422,1.4146,21.3137,1.0299,21.3854,-1.2452
3.2000,0,gripper_right_sensor_3,0,0,1.8273,-1.1233,0.1128,0.0033,0.9988,-0.0237,-0.0422,-0.3283,-5.3789,0.3423,5.3998,-0.2882
3.2000,0,gripper_right_sensor_4,0,0,1.8174,-1.1229,0.1136,0.0033,0.9988,-0.0237,-0.0422,-0.2245,-3.6788,0.2341,3.6931,-0.1971
3.2000,1,gripper_left_sensor_2,0,0,1.7503,1.1765,0.1245,-0.0030,0.9995,-0.0017,-0.0312,0.1617,6.2765,0.3664,6.2893,-0.3372
3.2000,1,gripper_right_sensor_3,0,0,1.7606,1.2683,0.1245,-0.0030,0.9995,-0.0017,-0.0312,-0.1068,-5.6158,0.2738,5.6235,-0.3011
3.2000,1,gripper_right_sensor_4,0,0,1.7506,1.2683,0.1251,-0.0030,0.9995,-0.0017,-0.0312,-0.1390,-7.3109,0.3564,7.3209,-0.3919
3.2000,2,gripper_left_sensor_2,0,0,-0.7642,-1.0719,0.1205,0.0114,0.9989,-0.0222,-0.0391,1.4174,22.7476,0.7383,22.8037,-1.3253
3.2000,2,gripper_right_sensor_3,0,0,-0.7501,-0.9768,0.1173,0.0114,0.9989,-0.0222,-0.0391,-0.3181,-5.5095,0.4383,5.5361,-0.2961
3.2000,2,gripper_right_sensor_4,0,0,-0.7601,-0.9764,0.1181,0.0114,0.9989,-0.0222,-0.0391,-0.4366,-7.5630,0.6016,7.5994,-0.4064
3.2000,3,gripper_left_sensor_2,0,0,-0.7335,1.3153,0.1173,0.0045,0.9988,-0.0222,-0.0428,1.4424,22.7514,1.0449,22.8210,-1.3280
3.2000,3,gripper_right_sensor_3,0,0,-0.7193,1.4099,0.1154,0.0045,0.9988,-0.0222,-0.0428,-0.3175,-5.4797,0.3617,5.5008,-0.2938
3.2000,3,gripper_right_sensor_4,0,0,-0.7293,1.4104,0.1163,0.0045,0.9988,-0.0222,-0.0428,-0.3423,-5.9063,0.3898,5.9291,-0.3166
3.4000,0,gripper_left_sensor_2,0,0,1.8128,-1.2161,0.1140,0.0032,0.9988,-0.0223,-0.0428,1.3416,21.1045,1.0288,21.1721,-1.2326
3.4000,0,gripper_right_sensor_3,0,0,1.8270,-1.1222,0.1124,0.0032,0.9988,-0.0223,-0.0428,-0.3146,-5.4145,0.3421,5.4344,-0.2901
