Timestamp,EnvID,SensorName,ContactID,ContactIndex,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ,Fx,Fy,Fz,ForceMagnitude,ForceAlongNormal
0.2000,0,gripper_left_sensor_1,0,0,0.4403,-0.0332,0.3536,0.6658,0.6428,-0.2716,0.2641,0.0116,0.5916,-0.0149,0.5919,-0.5919
0.2000,0,gripper_left_sensor_3,0,0,0.4470,-0.0335,0.3468,0.6658,0.6428,-0.2716,0.2641,0.9070,46.2048,-1.1625,46.2283,-46.2273
0.4000,0,gripper_left_sensor_1,0,0,0.4504,0.0247,0.2438,0.6969,0.6645,-0.1917,0.1897,0.0024,0.1684,-0.0073,0.1685,-0.1685
0.4000,0,gripper_left_sensor_3,0,0,0.4553,0.0242,0.2357,0.6969,0.6645,-0.1917,0.1897,0.4815,33.1441,-1.4465,33.1792,-33.1785
0.6000,0,gripper_left_sensor_1,0,0,0.4783,0.0610,0.1676,0.6950,0.6987,-0.1530,0.0729,0.0108,0.1211,0.0022,0.1216,-0.1215
0.6000,0,gripper_left_sensor_3,0,0,0.4813,0.0608,0.1586,0.6950,0.6987,-0.1530,0.0729,0.5640,6.3243,0.1152,6.3505,-6.3487
0.6000,0,gripper_left_sensor_4,0,0,0.4903,0.0598,0.1615,0.6950,0.6987,-0.1530,0.0729,1.8531,20.7795,0.3786,20.8654,-20.8596
0.6000,0,gripper_right_sensor_4,0,0,0.4997,0.1447,0.1635,-0.6987,0.6950,0.0729,0.1530,-0.3020,-3.3872,-0.0618,3.4012,-3.4003
0.8000,0,gripper_left_sensor_1,0,0,0.4976,0.0811,0.1034,0.7178,0.6908,-0.0805,0.0307,-2540.4685,188.9541,-469.2843,2590.3496,-17.5220
0.8000,0,gripper_left_sensor_2,0,0,0.5070,0.0805,0.1049,0.7178,0.6908,-0.0805,0.0307,1390.4032,-34.2115,158.6552,1399.8439,-62.5802
