Timestamp,EnvID,SensorName,ContactID,ContactIndex,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ,Fx,Fy,Fz,ForceMagnitude,ForceAlongNormal
2.0000,0,gripper_sensor_left,0,0,0.5040,0.1474,0.0716,0.0002,1.0000,-0.0002,-0.0003,0.0387,-44.9095,-0.0129,44.9095,0.0333
2.0000,0,gripper_sensor_right,0,0,0.5040,0.1924,0.0716,0.0002,1.0000,-0.0002,-0.0003,-0.0322,43.0435,-0.0060,43.0435,-0.0136
2.2000,0,gripper_sensor_left,0,0,0.4630,0.1375,0.0951,-0.0010,0.9983,-0.0007,-0.0590,0.3248,-44.2832,-0.0427,44.2844,-0.0875
2.2000,0,gripper_sensor_right,0,0,0.4631,0.1826,0.0952,-0.0010,0.9983,-0.0007,-0.0590,-0.1389,43.8787,0.0566,43.8789,0.0509
2.4000,0,gripper_sensor_left,0,0,0.4586,0.1190,0.2502,-0.0051,0.9986,-0.0014,-0.0528,0.2203,-44.0644,-0.4610,44.0673,-0.0174
2.4000,0,gripper_sensor_right,0,0,0.4587,0.1641,0.2506,-0.0051,0.9986,-0.0014,-0.0528,-0.0364,43.8748,0.4711,43.8774,-0.0140
2.6000,0,gripper_sensor_left,0,0,0.4620,0.1141,0.3406,-0.0015,0.9999,0.0006,-0.0115,0.4200,-43.7953,-0.1063,43.7974,-0.0351
2.6000,0,gripper_sensor_right,0,0,0.4619,0.1592,0.3408,-0.0015,0.9999,0.0006,-0.0115,-0.2423,43.7404,0.1334,43.7412,0.0038
2.8000,0,gripper_sensor_left,0,0,0.4566,0.1118,0.3686,-0.0004,1.0000,0.0008,-0.0030,0.4369,-43.7243,0.0048,43.7265,-0.0417
2.8000,0,gripper_sensor_right,0,0,0.4565,0.1569,0.3686,-0.0004,1.0000,0.0008,-0.0030,-0.2601,43.6750,0.0257,43.6758,0.0102
3.0000,0,gripper_sensor_left,0,0,0.4534,0.1106,0.3772,-0.0001,1.0000,0.0004,-0.0018,0.4073,-43.7001,0.0348,43.7020,-0.0437
3.0000,0,gripper_sensor_right,0,0,0.4534,0.1557,0.3772,-0.0001,1.0000,0.0004,-0.0018,-0.2307,43.6552,-0.0039,43.6558,0.0122
3.2000,0,gripper_sensor_left,0,0,0.4521,0.1101,0.3798,-0.0000,1.0000,0.0002,-0.0020,0.3847,-43.6915,0.0411,43.6932,-0.0443
3.2000,0,gripper_sensor_right,0,0,0.4521,0.1552,0.3798,-0.0000,1.0000,0.0002,-0.0020,-0.2082,43.6488,-0.0102,43.6493,0.0127
3.4000,0,gripper_sensor_left,0,0,0.4517,0.1098,0.3806,-0.0000,1.0000,0.0000,-0.0023,0.3723,-43.6884,0.0415,43.6900,-0.0444
3.4000,0,gripper_sensor_right,0,0,0.4517,0.1549,0.3806,-0.0000,1.0000,0.0000,-0.0023,-0.1957,43.6465,-0.0107,43.6469,0.0128
3.6000,0,gripper_sensor_left,0,0,0.4516,0.1097,0.3809,-0.0000,1.0000,-0.0000,-0.0025,0.3665,-43.6872,0.0410,43.6887,-0.0444
3.6000,0,gripper_sensor_right,0,0,0.4516,0.1548,0.3809,-0.0000,1.0000,-0.0000,-0.0025,-0.1900,43.6456,-0.0103,43.6460,0.0128
3.8000,0,gripper_sensor_left,0,0,0.4516,0.1097,0.3809,-0.0000,1.0000,-0.0001,-0.0026,0.3642,-43.6868,0.0406,43.6884,-0.0444
3.8000,0,gripper_sensor_right,0,0,0.4516,0.1548,0.3809,-0.0000,1.0000,-0.0001,-0.0026,-0.1877,43.6452,-0.0099,43.6456,0.0128
4.0000,0,gripper_sensor_left,0,0,0.4516,0.1097,0.3810,-0.0000,1.0000,-0.0001,-0.0026,0.3634,-43.6866,0.0404,43.6881,-0.0444
4.0000,0,gripper_sensor_right,0,0,0.4516,0.1548,0.3810,-0.0000,1.0000,-0.0001,-0.0026,-0.1868,43.6452,-0.0098,43.6456,0.0128
4.2000,0,gripper_sensor_left,0,0,0.4516,0.1096,0.3810,-0.0000,1.0000,-0.0001,-0.0026,0.3631,-43.6866,0.0403,43.6881,-0.0444
4.2000,0,gripper_sensor_right,0,0,0.4516,0.1548,0.3810,-0.0000,1.0000,-0.0001,-0.0026,-0.1866,43.6452,-0.0096,43.6456,0.0128
4.4000,0,gripper_sensor_left,0,0,0.4516,0.1096,0.3810,-0.0000,1.0000,-0.0001,-0.0026,0.3632,-43.6865,0.0403,43.6880,-0.0444
4.4000,0,gripper_sensor_right,0,0,0.4516,0.1548,0.3810,-0.0000,1.0000,-0.0001,-0.0026,-0.1867,43.6452,-0.0097,43.6456,0.0128
4.6000,0,gripper_sensor_left,0,0,0.4516,0.1096,0.3810,-0.0000,1.0000,-0.0001,-0.0026,0.3632,-43.6865,0.0403,43.6880,-0.0444
4.6000,0,gripper_sensor_right,0,0,0.4516,0.1548,0.3810,-0.0000,1.0000,-0.0001,-0.0026,-0.1867,43.6451,-0.0097,43.6455,0.0128
4.8000,0,gripper_sensor_left,0,0,0.4516,0.1096,0.3810,-0.0000,1.0000,-0.0001,-0.0026,0.3633,-43.6865,0.0403,43.6881,-0.0444
4.8000,0,gripper_sensor_right,0,0,0.4516,0.1548,0.3810,-0.0000,1.0000,-0.0001,-0.0026,-0.1867,43.6451,-0.0097,43.6455,0.0128
5.0000,0,gripper_sensor_left,0,0,0.4324,-0.0400,0.4182,0.0086,0.9216,0.0205,0.3875,0.3633,-43.6865,0.0403,43.6880,0.2315
5.0000,0,gripper_sensor_right,0,0,0.4299,0.0400,0.4157,0.0086,0.9216,0.0205,0.3875,-0.1868,43.6451,-0.0097,43.6455,-0.1267
7.0000,0,gripper_sensor_left,0,0,0.4059,-0.2484,0.0717,-0.0000,1.0000,-0.0015,0.0003,-0.0764,-42.7522,0.0477,42.7523,-0.0516
7.0000,0,gripper_sensor_right,0,0,0.4060,-0.2035,0.0717,-0.0000,1.0000,-0.0015,0.0003,0.1101,44.9403,-0.0381,44.9404,0.0423
7.2000,0,gripper_sensor_left,0,0,0.3658,-0.1949,0.1081,-0.0260,0.9959,0.0017,-0.0866,-0.2308,-45.0730,-2.1290,45.1238,-0.1901
7.2000,0,gripper_sensor_right,0,0,0.3658,-0.1499,0.1104,-0.0260,0.9959,0.0017,-0.0866,0.1727,42.9248,2.0638,42.9747,0.1535
7.4000,0,gripper_sensor_left,0,0,0.5062,0.0546,0.2662,-0.0176,0.9975,0.0616,-0.0303,5.4300,-43.1015,-1.7268,43.4765,0.0305
7.4000,0,gripper_sensor_right,0,0,0.5007,0.0992,0.2679,-0.0176,0.9975,0.0616,-0.0303,-5.6237,44.0582,1.7989,44.4520,-0.0603
7.6000,0,gripper_sensor_left,0,0,0.5525,0.1682,0.3266,-0.0078,0.9988,0.0470,-0.0072,4.3081,-43.1806,-0.6828,43.4004,-0.0236
7.6000,0,gripper_sensor_right,0,0,0.5483,0.2130,0.3273,-0.0078,0.9988,0.0470,-0.0072,-4.4277,43.6172,0.7238,43.8473,-0.0092
7.8000,0,gripper_sensor_left,0,0,0.5693,0.1915,0.3444,-0.0029,0.9997,0.0231,-0.0033,2.2257,-43.3883,-0.2223,43.4459,-0.0389
7.8000,0,gripper_sensor_right,0,0,0.5673,0.2365,0.3447,-0.0029,0.9997,0.0231,-0.0033,-2.3058,43.4785,0.2559,43.5404,0.0063
8.0000,0,gripper_sensor_left,0,0,0.5767,0.1949,0.3501,-0.0005,1.0000,0.0090,-0.0028,0.9538,-43.4240,-0.0012,43.4345,-0.0472
8.0000,0,gripper_sensor_right,0,0,0.5759,0.2399,0.3501,-0.0005,1.0000,0.0090,-0.0028,-1.0297,43.4506,0.0341,43.4628,0.0147
8.2000,0,gripper_sensor_left,0,0,0.5795,0.1958,0.3519,0.0005,1.0000,0.0032,-0.0029,0.4262,-43.4167,0.0932,43.4189,-0.0512
8.2000,0,gripper_sensor_right,0,0,0.5792,0.2408,0.3518,0.0005,1.0000,0.0032,-0.0029,-0.5017,43.4429,-0.0603,43.4458,0.0188
8.4000,0,gripper_sensor_left,0,0,0.5805,0.1963,0.3525,0.0009,1.0000,0.0011,-0.0030,0.2362,-43.4110,0.1304,43.4118,-0.0529
8.4000,0,gripper_sensor_right,0,0,0.5804,0.2413,0.3524,0.0009,1.0000,0.0011,-0.0030,-0.3116,43.4394,-0.0976,43.4406,0.0204
8.6000,0,gripper_sensor_left,0,0,0.5809,0.1966,0.3527,0.0011,1.0000,0.0004,-0.0030,0.1683,-43.4086,0.1448,43.4092,-0.0535
8.6000,0,gripper_sensor_right,0,0,0.5809,0.2416,0.3526,0.0011,1.0000,0.0004,-0.0030,-0.2437,43.4374,-0.1120,43.4382,0.0211
8.8000,0,gripper_sensor_left,0,0,0.5810,0.1967,0.3528,0.0011,1.0000,0.0001,-0.0031,0.1429,-43.4078,0.1503,43.4083,-0.0537
8.8000,0,gripper_sensor_right,0,0,0.5810,0.2417,0.3527,0.0011,1.0000,0.0001,-0.0031,-0.2183,43.4365,-0.1175,43.4372,0.0213
