Timestamp,EnvID,SensorName,ContactID,ContactIndex,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ,Fx,Fy,Fz,ForceMagnitude,ForceAlongNormal
1.8000,0,gripper_right_sensor_4,0,0,0.4066,0.0492,0.0145,-0.7043,0.7044,0.0558,-0.0677,2.0139,-11.3879,-0.0160,11.5646,-11.5644
2.0000,0,gripper_left_sensor_4,0,0,0.4216,-0.0333,0.0142,0.7043,0.7044,0.0684,0.0560,-2.9845,16.7562,0.0273,17.0199,-17.0196
2.0000,0,gripper_right_sensor_3,0,0,0.3974,0.0480,0.0145,-0.7044,0.7043,0.0560,-0.0684,0.1480,-0.8308,-0.0014,0.8438,-0.8438
2.0000,0,gripper_right_sensor_4,0,0,0.4068,0.0497,0.0144,-0.7044,0.7043,0.0560,-0.0684,2.0613,-11.5733,-0.0193,11.7555,-11.7553
2.2000,0,gripper_left_sensor_4,0,0,0.4218,-0.0328,0.0141,0.7042,0.7044,0.0690,0.0565,-2.9809,16.5986,0.0300,16.8641,-16.8638
2.2000,0,gripper_right_sensor_3,0,0,0.3975,0.0484,0.0144,-0.7044,0.7042,0.0565,-0.0690,0.1523,-0.8480,-0.0016,0.8616,-0.8615
2.2000,0,gripper_right_sensor_4,0,0,0.4069,0.0501,0.0143,-0.7044,0.7042,0.0565,-0.0690,2.0930,-11.6545,-0.0215,11.8410,-11.8408
2.4000,0,gripper_left_sensor_4,0,0,0.4219,-0.0324,0.0140,0.7041,0.7043,0.0695,0.0570,-2.9790,16.4522,0.0314,16.7197,-16.7194
2.4000,0,gripper_right_sensor_3,0,0,0.3976,0.0488,0.0144,-0.7043,0.7041,0.0570,-0.0695,0.1491,-0.8232,-0.0016,0.8365,-0.8365
2.4000,0,gripper_right_sensor_4,0,0,0.4069,0.0505,0.0142,-0.7043,0.7041,0.0570,-0.0695,2.1331,-11.7805,-0.0229,11.9721,-11.9718
